Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/2/2019,AQS,420030002,2,7.5,ug/m3 LC,31,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
1/3/2019,AQS,420030002,2,9,ug/m3 LC,38,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
1/4/2019,AQS,420030002,2,19,ug/m3 LC,66,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
1/5/2019,AQS,420030002,2,14.1,ug/m3 LC,55,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
1/6/2019,AQS,420030002,2,8.9,ug/m3 LC,37,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
1/7/2019,AQS,420030002,2,6.3,ug/m3 LC,26,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
1/8/2019,AQS,420030002,2,7.2,ug/m3 LC,30,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
1/9/2019,AQS,420030002,2,4.9,ug/m3 LC,20,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
1/10/2019,AQS,420030002,2,4.7,ug/m3 LC,20,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
1/11/2019,AQS,420030002,2,7.7,ug/m3 LC,32,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
1/12/2019,AQS,420030002,2,12.5,ug/m3 LC,52,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
1/13/2019,AQS,420030002,2,16.5,ug/m3 LC,60,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
1/14/2019,AQS,420030002,2,10.2,ug/m3 LC,43,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
1/15/2019,AQS,420030002,2,12.3,ug/m3 LC,51,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
1/16/2019,AQS,420030002,2,9.8,ug/m3 LC,41,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
1/17/2019,AQS,420030002,2,11.2,ug/m3 LC,47,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
1/18/2019,AQS,420030002,2,15.4,ug/m3 LC,58,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
1/19/2019,AQS,420030002,2,12.9,ug/m3 LC,53,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
1/20/2019,AQS,420030002,2,5.3,ug/m3 LC,22,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
1/21/2019,AQS,420030002,2,6.7,ug/m3 LC,28,Avalon,1,100,88101,PM2.5 - Local Conditions,38300,"Pittsburgh, PA",42,Pennsylvania,3,Allegheny,40.49976657,-80.0713372
